location,total_cases,total_deaths,human_development_index,life_expectancy,population
Afghanistan,227885,7956,0.511,64.83,41128772
Albania,334090,3604,0.795,78.57,2842318
Algeria,271958,6881,0.748,76.88,44903228
Andorra,48015,159,0.868,83.73,79843
Angola,105978,1936,0.581,61.15,35588996
Antigua and Barbuda,9106,146,0.778,77.02,93772
Argentina,10054576,130472,0.845,76.67,45510324
Armenia,450873,8769,0.776,75.09,2780472
Australia,11629977,23342,0.944,83.44,26177410
Austria,6081287,22534,0.922,81.54,8939617
Azerbaijan,834050,10356,0.756,73.0,10358078
Bahamas,38084,844,0.814,73.92,409989
Bahrain,696614,1536,0.852,77.29,1472237
Bangladesh,2045958,29477,0.632,72.59,171186368
Barbados,110091,620,0.814,79.19,281646
Belarus,994037,7118,0.823,74.79,9534956
Belgium,4827188,34339,0.931,81.63,11655923
Belize,71060,688,0.716,74.62,405285
Benin,28036,163,0.545,61.77,13352864
Bhutan,62697,21,0.654,71.78,782457
Bolivia,1209619,22407,0.718,71.51,12224114
Bosnia and Herzegovina,403293,16364,0.78,77.4,3233530
Botswana,330360,2801,0.735,69.59,2630300
Brazil,37721749,704659,0.765,75.88,215313504
Brunei,312892,163,0.838,75.86,449002
Bulgaria,1307688,38456,0.816,75.05,6781955
Burkina Faso,22056,396,0.452,61.58,22673764
Burundi,54721,15,0.433,61.58,12889583
Cambodia,138945,3056,0.594,69.82,16767851
Cameroon,125090,1974,0.563,59.29,27914542
Canada,4716205,53297,0.929,82.43,38454328
Cape Verde,64477,417,0.665,72.98,593162
Central African Republic,15367,113,0.397,53.28,5579148
Chad,7698,194,0.398,54.24,17723312
Chile,5288930,61611,0.851,80.18,19603736
China,99318718,121790,0.761,76.91,1425887360
Colombia,6383440,142942,0.767,77.29,51874028
Comoros,9109,160,0.554,64.32,836783
Congo,25196,389,0.574,64.57,5970430
Costa Rica,1238884,9428,0.81,80.28,5180836
Cote d'Ivoire,88338,835,0.538,57.78,28160548
Croatia,1276497,18438,0.851,78.49,4030361
Cuba,1115103,8530,0.783,78.8,11212198
Cyprus,660854,1364,0.887,80.98,896007
Czechia,4670697,42948,0.9,79.38,10493990
Democratic Republic of Congo,99181,1468,0.48,60.68,99010216
Denmark,3417017,8824,0.94,80.9,5882259
Djibouti,15690,189,0.524,67.11,1120851
Dominica,15798,74,0.742,75.0,72758
Dominican Republic,667074,4384,0.756,74.08,11228821
Ecuador,1069139,36043,0.759,77.01,18001002
Egypt,516023,24830,0.707,71.99,110990096
El Salvador,201809,4230,0.673,73.32,6336393
Equatorial Guinea,17130,183,0.592,58.74,1674916
Eritrea,10189,103,0.459,66.32,3684041
Estonia,602478,2902,0.892,78.74,1326064
Eswatini,75127,1427,0.611,60.19,1201680
Ethiopia,501060,7574,0.485,66.6,123379928
Fiji,69047,885,0.743,67.44,929769
Finland,1490937,10286,0.938,81.91,5540745
France,38997490,167985,0.901,82.66,67813000
Gabon,48992,307,0.703,66.47,2388997
Gambia,12626,372,0.496,62.05,2705995
Georgia,1855289,17132,0.812,73.77,3744385
Germany,38437756,174979,0.947,81.33,83369840
Ghana,171653,1462,0.611,64.07,33475870
Greece,5443008,37748,0.888,82.24,10384972
Grenada,19693,238,0.779,72.4,125459
Guatemala,1271070,20235,0.663,74.3,17843914
Guinea,38563,468,0.477,61.6,13859349
Guinea-Bissau,9614,177,0.48,58.32,2105580
Guyana,73388,1299,0.682,69.91,808727
Haiti,34454,860,0.51,64.0,11585003
Honduras,474590,11127,0.634,75.27,10432858
Hungary,2211136,48828,0.854,76.88,9967304
Iceland,209286,186,0.949,82.99,372903
India,45001384,533294,0.645,69.66,1417173120
Indonesia,6813429,161918,0.718,71.72,275501344
Iran,7623061,146633,0.783,76.68,88550568
Iraq,2465545,25375,0.674,70.6,44496124
Ireland,1723999,9328,0.955,82.3,5023108
Israel,4841756,12707,0.919,82.97,9449000
Italy,26257548,192554,0.892,83.51,59037472
Jamaica,156468,3610,0.734,74.47,2827382
Japan,33803572,74694,0.919,84.63,123951696
Jordan,1746997,14122,0.729,74.53,11285875
Kazakhstan,1502857,19072,0.825,73.6,19397998
Kenya,344130,5689,0.601,66.7,54027484
Kiribati,5085,24,0.63,68.37,131237
Kuwait,666501,2570,0.806,75.49,4268886
Kyrgyzstan,88908,1024,0.697,71.45,6630621
Laos,218891,671,0.613,67.92,7529477
Latvia,976428,7388,0.866,75.29,1850654
Lebanon,1239904,10947,0.744,78.93,5489744
Lesotho,35836,709,0.527,54.33,2305826
Liberia,7930,294,0.48,64.1,5302690
Libya,507269,6437,0.724,72.91,6812344
Liechtenstein,21515,87,0.919,82.49,39355
Lithuania,1340934,9739,0.882,75.93,2750058
Luxembourg,385445,1000,0.916,82.25,647601
Madagascar,68358,1425,0.528,67.04,29611718
Malawi,88986,2686,0.483,64.26,20405318
Malaysia,5131899,37202,0.81,76.16,33938216
Maldives,186694,316,0.74,78.92,523798
Mali,33162,743,0.434,59.31,22593598
Malta,120632,883,0.895,82.53,533293
Marshall Islands,16138,17,0.704,73.7,41593
Mauritania,63774,997,0.546,64.92,4736146
Mauritius,309983,1054,0.804,74.99,1299478
Mexico,7692885,334752,0.779,75.05,127504120
Micronesia (country),26547,65,0.62,67.88,114178
Moldova,626652,12150,0.75,71.9,3272993
Mongolia,1011267,2284,0.737,69.87,3398373
Montenegro,251280,2654,0.829,76.88,627082
Morocco,1277342,16297,0.686,76.68,37457976
Mozambique,233654,2249,0.456,60.85,32969520
Myanmar,641356,19494,0.583,67.13,54179312
Namibia,172132,4100,0.646,63.71,2567024
Nepal,1003450,12031,0.602,70.78,30547586
Netherlands,8620051,22986,0.944,82.28,17564020
New Zealand,2400967,3445,0.931,82.29,5185289
Nicaragua,16061,245,0.66,74.48,6948395
Niger,9515,315,0.394,62.42,26207982
Nigeria,267146,3155,0.539,54.69,218541216
North Macedonia,349618,9949,0.774,75.8,2093606
Norway,1489459,5732,0.957,82.4,5434324
Oman,399449,4628,0.813,77.86,4576300
Pakistan,1580631,30656,0.557,67.27,235824864
Palau,6246,9,0.826,73.7,18084
Palestine,703228,5708,0.708,74.05,5250076
Panama,1047727,8658,0.815,78.51,4408582
Papua New Guinea,46864,670,0.555,64.5,10142625
Paraguay,735957,19989,0.728,74.25,6780745
Peru,4522474,221727,0.777,76.74,34049588
Philippines,4119478,66736,0.718,71.23,115559008
Poland,6537193,119695,0.88,78.73,39857144
Portugal,5629824,27630,0.864,82.05,10270857
Qatar,514524,690,0.848,80.23,2695131
Romania,3499607,68568,0.828,76.05,19659270
Russia,23124717,400256,0.824,72.58,144713312
Rwanda,133194,1468,0.543,69.02,13776702
Saint Kitts and Nevis,6607,46,0.779,76.23,47681
Saint Lucia,30150,410,0.759,76.2,179872
